time,pv,cv,sp,kp,ki,kd,sp_change,time_sec
7531000,19.0326,100.0,20,45,9.91,51.08,False,7531.0
7531500,19.277,100.0,20,45,9.91,51.08,False,7531.5
7532000,19.589,100.0,20,45,9.91,51.08,False,7532.0
7532500,19.8334,100.0,20,45,9.91,51.08,False,7532.5
7533000,20.0154,95.89079,20,45,9.91,51.08,False,7533.0
7533500,20.2754,25.94244,20,45,9.91,51.08,False,7533.5
7534000,20.5406,0.0,20,45,9.91,51.08,False,7534.0
7534500,20.7902,0.0,20,45,9.91,51.08,False,7534.5
7535000,20.967,19.03069,20,45,9.91,51.08,False,7535.0
7535500,21.1022,10.01235,20,45,9.91,51.08,False,7535.5
7536000,21.1594,28.97468,20,45,9.91,51.08,False,7536.0
7536500,21.227,9.559343,20,45,9.91,51.08,False,7536.5
7537000,21.1958,0.0,20,45,9.91,51.08,False,7537.0
7537500,21.1438,7.549614,20,45,9.91,51.08,False,7537.5
7538000,21.0294,0.0,20,45,9.91,51.08,False,7538.0
7538500,20.941,26.39868,20,45,9.91,51.08,False,7538.5
7539000,20.8838,0.0,20,45,9.91,51.08,False,7539.0
7539500,20.7694,0.0,20,45,9.91,51.08,False,7539.5
7540000,20.6342,6.319768,20,45,9.91,51.08,False,7540.0
7540500,20.5042,0.0,20,45,9.91,51.08,False,7540.5
7541000,20.3794,12.9973,20,45,9.91,51.08,False,7541.0
7541500,20.2598,10.63488,20,45,9.91,51.08,False,7541.5
7542000,20.0934,19.78811,20,45,9.91,51.08,False,7542.0
7542500,19.9842,50.06181,20,45,9.91,51.08,False,7542.5
7543000,19.849,46.4222,20,45,9.91,51.08,False,7543.0
7543500,19.7242,68.97842,20,45,9.91,51.08,False,7543.5
7544000,19.6098,36.16859,20,45,9.91,51.08,False,7544.0
7544500,19.5162,48.63195,20,45,9.91,51.08,False,7544.5
7545000,19.3862,53.99438,20,45,9.91,51.08,False,7545.0
7545500,19.2614,65.53681,20,45,9.91,51.08,False,7545.5
7546000,19.1366,100.0,20,45,9.91,51.08,False,7546.0
7546500,19.0898,89.10992,20,45,9.91,51.08,False,7546.5
7547500,19.0586,92.93552,20,45,9.91,51.08,False,7547.5
7548000,19.251,88.42063,20,45,9.91,51.08,False,7548.0
7548500,19.4538,85.18269,20,45,9.91,51.08,False,7548.5
7549000,19.6514,84.64529,20,45,9.91,51.08,False,7549.0
7549500,19.8386,60.67556,20,45,9.91,51.08,False,7549.5
7550000,20.0362,19.03238,20,45,9.91,51.08,False,7550.0
7550500,20.1454,34.44747,20,45,9.91,51.08,False,7550.5
7551000,20.213,48.30612,20,45,9.91,51.08,False,7551.0
7551500,20.3014,47.5069,20,45,9.91,51.08,False,7551.5
7552000,20.4418,5.593563,20,45,9.91,51.08,False,7552.0
7552500,20.473,44.37136,20,45,9.91,51.08,False,7552.5
7553000,20.3794,35.41399,20,45,9.91,51.08,False,7553.0
7553500,20.291,48.69758,20,45,9.91,51.08,False,7553.5
7554000,20.1922,46.86189,20,45,9.91,51.08,False,7554.0
7554500,20.0882,49.92809,20,45,9.91,51.08,False,7554.5
7555000,20.0102,73.9396,20,45,9.91,51.08,False,7555.0
7555500,19.9374,53.25303,20,45,9.91,51.08,False,7555.5
7556000,19.8542,60.69395,20,45,9.91,51.08,False,7556.0
7556500,19.7606,59.97007,20,45,9.91,51.08,False,7556.5
7557000,19.7138,77.52804,20,45,9.91,51.08,False,7557.0
7557500,19.7554,74.70175,20,45,9.91,51.08,False,7557.5
7558000,19.8022,43.36156,20,45,9.91,51.08,False,7558.0
7558500,19.8438,48.49273,20,45,9.91,51.08,False,7558.5
7559000,19.9114,45.77851,20,45,9.91,51.08,False,7559.0
7559500,19.979,43.07589,20,45,9.91,51.08,False,7559.5
7560000,20.0414,43.14595,20,45,9.91,51.08,False,7560.0
7560500,20.0726,46.52139,20,45,9.91,51.08,False,7560.5
7561000,20.1142,49.95697,20,45,9.91,51.08,False,7561.0
7561500,20.1402,51.51326,20,45,9.91,51.08,False,7561.5
7562000,20.1506,60.72572,20,45,9.91,51.08,False,7562.0
7562500,20.1714,47.85209,20,45,9.91,51.08,False,7562.5
7563000,20.187,38.26204,20,45,9.91,51.08,False,7563.0
7563500,20.1922,50.52913,20,45,9.91,51.08,False,7563.5
7564000,20.1506,47.12602,20,45,9.91,51.08,False,7564.0
7564500,20.1506,47.41338,20,45,9.91,51.08,False,7564.5
7565000,20.135,43.67599,20,45,9.91,51.08,False,7565.0
7565500,20.1142,66.53808,20,45,9.91,51.08,False,7565.5
7566000,20.057,57.46287,20,45,9.91,51.08,False,7566.0
7566500,20.0206,66.57783,20,45,9.91,51.08,False,7566.5
7567000,19.979,66.03904,20,45,9.91,51.08,False,7567.0
7567500,19.9218,63.02439,20,45,9.91,51.08,False,7567.5
7568000,19.9374,66.01154,20,45,9.91,51.08,False,7568.0
7568500,19.9426,48.01083,20,45,9.91,51.08,False,7568.5
7569000,19.9114,61.82817,20,45,9.91,51.08,False,7569.0
7569500,19.9114,60.36007,20,45,9.91,51.08,False,7569.5
7570000,19.9582,65.30128,20,45,9.91,51.08,False,7570.0
7570500,19.9686,53.52018,20,45,9.91,51.08,False,7570.5
7571000,19.9842,54.91869,20,45,9.91,51.08,False,7571.0
7571500,20.0206,45.54846,20,45,9.91,51.08,False,7571.5
7572000,20.0154,51.54765,20,45,9.91,51.08,False,7572.0
7572500,20.0466,52.1882,20,45,9.91,51.08,False,7572.5
7573000,20.0518,55.11718,20,45,9.91,51.08,False,7573.0
7573500,20.0518,43.54045,20,45,9.91,51.08,False,7573.5
7574000,20.031,45.99118,20,45,9.91,51.08,False,7574.0
7574500,20.0674,46.30552,20,45,9.91,51.08,False,7574.5
7575000,20.0414,40.3212,20,45,9.91,51.08,False,7575.0
7575500,20.0466,56.22285,20,45,9.91,51.08,False,7575.5
7576000,20.0206,57.00246,20,45,9.91,51.08,False,7576.0
7576500,20.005,46.36345,20,45,9.91,51.08,False,7576.5
7577000,20.005,52.77037,20,45,9.91,51.08,False,7577.0
7577500,19.9894,50.62999,20,45,9.91,51.08,False,7577.5
7578000,19.9686,48.59496,20,45,9.91,51.08,False,7578.0
7578500,19.9842,40.52391,20,45,9.91,51.08,False,7578.5
7579000,19.979,50.99171,20,45,9.91,51.08,False,7579.0
7579500,19.9634,57.40008,20,45,9.91,51.08,False,7579.5
7580000,20.005,56.05868,20,45,9.91,51.08,False,7580.0
7580500,19.9998,58.69522,20,45,9.91,51.08,False,7580.5
7581000,19.9894,61.33146,20,45,9.91,51.08,False,7581.0
7581500,19.9998,48.6306,20,45,9.91,51.08,False,7581.5
7582000,20.0154,50.28829,20,45,9.91,51.08,False,7582.0
7582500,19.979,59.65868,20,45,9.91,51.08,False,7582.5
7583000,19.9946,53.94955,20,45,9.91,51.08,False,7583.0
7583500,20.005,58.61107,20,45,9.91,51.08,False,7583.5
7584000,19.979,45.59051,20,45,9.91,51.08,False,7584.0
7584500,19.9842,46.3947,20,45,9.91,51.08,False,7584.5
7585000,20.0206,61.90369,20,45,9.91,51.08,False,7585.0
7585500,20.031,41.58624,20,45,9.91,51.08,False,7585.5
7586000,20.0258,73.76674,20,45,9.91,51.08,False,7586.0
7586500,20.0518,42.96421,20,45,9.91,51.08,False,7586.5
7587000,20.0206,62.73158,20,45,9.91,51.08,False,7587.0
7587500,20.0466,48.30326,20,45,9.91,51.08,False,7587.5
7588000,20.031,52.01148,20,45,9.91,51.08,False,7588.0
7588500,20.005,39.19673,20,45,9.91,51.08,False,7588.5
7589000,19.953,70.39121,20,45,9.91,51.08,False,7589.0
7589500,19.9478,61.17386,20,45,9.91,51.08,False,7589.5
7590000,19.927,56.23486,20,45,9.91,51.08,False,7590.0
7590500,19.9426,62.12764,20,45,9.91,51.08,False,7590.5
7591000,19.953,56.43019,20,45,9.91,51.08,False,7591.0
7591500,19.9894,50.12439,20,45,9.91,51.08,False,7591.5
7592000,20.0154,42.96531,20,45,9.91,51.08,False,7592.0
7592500,20.005,50.87712,20,45,9.91,51.08,False,7592.5
7593000,20.0518,46.42966,20,45,9.91,51.08,False,7593.0
7593500,20.031,57.7106,20,45,9.91,51.08,False,7593.5
7594000,20.0154,52.47425,20,45,9.91,51.08,False,7594.0
7594500,20.0206,55.21584,20,45,9.91,51.08,False,7594.5
7595000,20.0206,52.48367,20,45,9.91,51.08,False,7595.0
7595500,19.9946,47.35015,20,45,9.91,51.08,False,7595.5
7596000,19.9738,73.16942,20,45,9.91,51.08,False,7596.0
7596500,19.9998,57.08186,20,45,9.91,51.08,False,7596.5
7597000,19.9998,53.54347,20,45,9.91,51.08,False,7597.0
7597500,20.005,65.3605,20,45,9.91,51.08,False,7597.5
7598000,19.953,58.52081,20,45,9.91,51.08,False,7598.0
7598500,19.9686,64.26884,20,45,9.91,51.08,False,7598.5
7599000,19.979,45.32104,20,45,9.91,51.08,False,7599.0
7599500,20.0258,57.38349,20,45,9.91,51.08,False,7599.5
7600000,20.0466,44.10791,20,45,9.91,51.08,False,7600.0
7600500,20.057,49.69241,20,45,9.91,51.08,False,7600.5
7601000,20.0622,48.26889,20,45,9.91,51.08,False,7601.0
7601500,20.0622,50.54914,20,45,9.91,51.08,False,7601.5
7602000,20.0674,56.00078,20,45,9.91,51.08,False,7602.0
7602500,20.0778,35.83307,20,45,9.91,51.08,False,7602.5
7603000,20.0362,47.68837,20,45,9.91,51.08,False,7603.0
7603500,20.0258,68.47741,20,45,9.91,51.08,False,7603.5
7604000,19.979,69.14008,20,45,9.91,51.08,False,7604.0
7604500,19.9686,53.06784,20,45,9.91,51.08,False,7604.5
7605000,19.9738,67.41343,20,45,9.91,51.08,False,7605.0
7605500,19.9426,56.95346,20,45,9.91,51.08,False,7605.5
7606000,19.9842,62.86626,20,45,9.91,51.08,False,7606.0
7606500,19.9894,53.68027,20,45,9.91,51.08,False,7606.5
7607000,20.005,44.85302,20,45,9.91,51.08,False,7607.0
7607500,19.9946,67.26976,20,45,9.91,51.08,False,7607.5
7608000,20.0102,58.36513,20,45,9.91,51.08,False,7608.0
7608500,19.9894,58.82102,20,45,9.91,51.08,False,7608.5
7609000,20.031,52.8269,20,45,9.91,51.08,False,7609.0
7609500,20.0154,60.25735,20,45,9.91,51.08,False,7609.5
7610000,20.0362,47.18961,20,45,9.91,51.08,False,7610.0
7610500,20.0102,61.23566,20,45,9.91,51.08,False,7610.5
7611000,20.005,64.46523,20,45,9.91,51.08,False,7611.0
7611500,19.9946,61.3863,20,45,9.91,51.08,False,7611.5
7612000,19.9998,39.7175,20,45,9.91,51.08,False,7612.0
7612500,19.9946,39.27636,20,45,9.91,51.08,False,7612.5
7613000,20.0102,55.44849,20,45,9.91,51.08,False,7613.0
7613500,20.031,49.1298,20,45,9.91,51.08,False,7613.5
7614000,20.0414,51.16099,20,45,9.91,51.08,False,7614.0
7614500,20.0206,43.2468,20,45,9.91,51.08,False,7614.5
7615000,20.005,38.9733,20,45,9.91,51.08,False,7615.0
7615500,19.9998,49.98318,20,45,9.91,51.08,False,7615.5
7616000,19.9582,73.21623,20,45,9.91,51.08,False,7616.0
7616500,19.9686,46.07317,20,45,9.91,51.08,False,7616.5
7617000,19.9738,71.28822,20,45,9.91,51.08,False,7617.0
7617500,19.9582,57.76104,20,45,9.91,51.08,False,7617.5
7618000,19.979,57.69841,20,45,9.91,51.08,False,7618.0
7618500,19.953,60.71289,20,45,9.91,51.08,False,7618.5
7619000,19.9634,43.59194,20,45,9.91,51.08,False,7619.0
7619500,20.005,51.16193,20,45,9.91,51.08,False,7619.5
7620000,20.0258,39.30268,20,45,9.91,51.08,False,7620.0
7620500,20.0154,56.08485,20,45,9.91,51.08,False,7620.5
7621000,20.0362,50.18742,20,45,9.91,51.08,False,7621.0
7621500,20.031,71.76881,20,45,9.91,51.08,False,7621.5
7622000,20.0258,52.10991,20,45,9.91,51.08,False,7622.0
7622500,20.0154,57.77697,20,45,9.91,51.08,False,7622.5
7623000,20.0102,55.26269,20,45,9.91,51.08,False,7623.0
7623500,20.005,47.20826,20,45,9.91,51.08,False,7623.5
7624000,20.0102,47.17318,20,45,9.91,51.08,False,7624.0
7624500,19.9842,45.52161,20,45,9.91,51.08,False,7624.5
7625000,19.9998,68.05074,20,45,9.91,51.08,False,7625.0
7625500,19.9998,53.1524,20,45,9.91,51.08,False,7625.5
7626000,19.9946,50.76611,20,45,9.91,51.08,False,7626.0
7626500,19.9842,62.63472,20,45,9.91,51.08,False,7626.5
7627000,19.9894,43.20185,20,45,9.91,51.08,False,7627.0
7627500,19.9894,51.25047,20,45,9.91,51.08,False,7627.5
7628000,19.9998,56.3342,20,45,9.91,51.08,False,7628.0
7628500,19.9842,42.85622,20,45,9.91,51.08,False,7628.5
7629000,19.9894,43.42538,20,45,9.91,51.08,False,7629.0
7629500,19.9842,57.27125,20,45,9.91,51.08,False,7629.5
7630000,19.979,83.47432,20,45,9.91,51.08,False,7630.0
7630500,19.9842,49.44273,20,45,9.91,51.08,False,7630.5
7631000,19.9998,42.75887,20,45,9.91,51.08,False,7631.0
7631500,20.0206,67.32288,20,45,9.91,51.08,False,7631.5
7632000,20.0206,64.22644,20,45,9.91,51.08,False,7632.0
7632500,20.0258,55.78914,20,45,9.91,51.08,False,7632.5
7633000,20.0206,43.83522,20,45,9.91,51.08,False,7633.0
7633500,20.0466,57.17091,20,45,9.91,51.08,False,7633.5
7634000,20.0362,54.05314,20,45,9.91,51.08,False,7634.0
7634500,20.0362,42.02707,20,45,9.91,51.08,False,7634.5
7635000,20.0206,67.77562,20,45,9.91,51.08,False,7635.0
7635500,20.0362,46.11387,20,45,9.91,51.08,False,7635.5
7636000,19.9998,57.60724,20,45,9.91,51.08,False,7636.0
7636500,19.9998,60.49049,20,45,9.91,51.08,False,7636.5
7637000,20.0154,57.80468,20,45,9.91,51.08,False,7637.0
7637500,19.9946,57.7746,20,45,9.91,51.08,False,7637.5
7638000,19.9998,65.36638,20,45,9.91,51.08,False,7638.0
7638500,19.9998,38.4377,20,45,9.91,51.08,False,7638.5
7639000,20.0206,54.27502,20,45,9.91,51.08,False,7639.0
7639500,20.031,32.24816,20,45,9.91,51.08,False,7639.5
7640000,19.9998,54.82301,20,45,9.91,51.08,False,7640.0
7640500,20.0154,51.40952,20,45,9.91,51.08,False,7640.5
7641000,19.979,54.23851,20,45,9.91,51.08,False,7641.0
7641500,19.9894,58.06111,20,45,9.91,51.08,False,7641.5
7642000,19.979,52.59698,20,45,9.91,51.08,False,7642.0
7642500,19.9842,58.65232,20,45,9.91,51.08,False,7642.5
7643000,19.979,42.53931,20,45,9.91,51.08,False,7643.0
7643500,19.9686,62.38649,20,45,9.91,51.08,False,7643.5
7644000,19.9634,48.12082,20,45,9.91,51.08,False,7644.0
7644500,19.9582,62.76683,20,45,9.91,51.08,False,7644.5
7645000,19.979,40.5161,20,45,9.91,51.08,False,7645.0
7645500,19.9686,59.13497,20,45,9.91,51.08,False,7645.5
7646000,20.0154,43.99939,20,45,9.91,51.08,False,7646.0
7646500,19.9946,63.95448,20,45,9.91,51.08,False,7646.5
7647000,19.9946,50.2108,20,45,9.91,51.08,False,7647.0
7647500,19.9998,50.6513,20,45,9.91,51.08,False,7647.5
7648000,20.0102,55.94489,20,45,9.91,51.08,False,7648.0
7648500,19.9894,61.49444,20,45,9.91,51.08,False,7648.5
7649000,19.9738,51.22796,20,45,9.91,51.08,False,7649.0
7649500,19.9842,56.40828,20,45,9.91,51.08,False,7649.5
7650000,19.9738,65.36399,20,45,9.91,51.08,False,7650.0
7650500,19.9998,45.28807,20,45,9.91,51.08,False,7650.5
7651000,19.9894,45.81106,20,45,9.91,51.08,False,7651.0
7651500,19.9946,61.99819,20,45,9.91,51.08,False,7651.5
7652000,20.0102,55.945,20,45,9.91,51.08,False,7652.0
7652500,20.005,57.82226,20,45,9.91,51.08,False,7652.5
7653000,20.0206,52.88759,20,45,9.91,51.08,False,7653.0
7653500,20.0258,52.31777,20,45,9.91,51.08,False,7653.5
7654000,19.9998,71.65749,20,45,9.91,51.08,False,7654.0
7654500,20.0154,61.45153,20,45,9.91,51.08,False,7654.5
7655000,20.0154,69.48648,20,45,9.91,51.08,False,7655.0
7655500,19.9946,47.21084,20,45,9.91,51.08,False,7655.5
7656000,19.9894,48.24066,20,45,9.91,51.08,False,7656.0
