time,pv,cv,sp,kp
438312,49.54,34.35,50.0,75.0
438836,49.45,40.99,50.0,75.0
439359,49.41,44.11,50.0,75.0
439882,49.31,51.92,50.0,75.0
440404,49.18,61.69,50.0,75.0
440927,49.08,69.11,50.0,75.0
441450,48.99,75.75,50.0,75.0
441973,48.91,82.0,50.0,75.0
442496,48.82,88.64,50.0,75.0
443018,48.81,89.03,50.0,75.0
443541,48.89,83.17,50.0,75.0
444064,49.01,74.19,50.0,75.0
444587,49.18,61.69,50.0,75.0
445110,49.38,46.85,50.0,75.0
445632,49.46,40.2,50.0,75.0
446155,49.53,35.13,50.0,75.0
446680,49.56,32.78,50.0,75.0
447204,49.55,33.56,50.0,75.0
447727,49.48,38.64,50.0,75.0
448250,49.36,47.63,50.0,75.0
448772,49.28,53.88,50.0,75.0
449296,49.2,59.74,50.0,75.0
449819,49.08,69.11,50.0,75.0
450342,48.99,75.75,50.0,75.0
450865,48.88,84.35,50.0,75.0
451388,48.78,91.77,50.0,75.0
451911,48.8,89.81,50.0,75.0
452434,48.89,83.56,50.0,75.0
452957,49.0,74.97,50.0,75.0
453481,49.16,62.86,50.0,75.0
454004,49.36,47.63,50.0,75.0
454527,49.45,41.38,50.0,75.0
455052,49.52,35.91,50.0,75.0
455575,49.52,35.91,50.0,75.0
456098,49.47,39.42,50.0,75.0
456622,49.42,43.72,50.0,75.0
457145,49.31,51.53,50.0,75.0
457668,49.2,59.74,50.0,75.0
458191,49.09,68.33,50.0,75.0
458714,49.04,71.85,50.0,75.0
459237,48.94,79.66,50.0,75.0
459761,48.81,89.03,50.0,75.0
460284,48.79,90.99,50.0,75.0
460807,48.92,80.83,50.0,75.0
461330,49.08,69.11,50.0,75.0
461853,49.22,58.17,50.0,75.0
462375,49.3,52.31,50.0,75.0
462899,49.4,45.28,50.0,75.0
463424,49.47,39.81,50.0,75.0
463948,49.48,38.64,50.0,75.0
464471,49.45,41.38,50.0,75.0
464994,49.38,46.85,50.0,75.0
465517,49.3,52.31,50.0,75.0
466040,49.22,58.56,50.0,75.0
466563,49.13,65.2,50.0,75.0
467086,49.02,73.41,50.0,75.0
467610,48.94,79.66,50.0,75.0
468133,48.85,85.91,50.0,75.0
468656,48.9,82.78,50.0,75.0
469179,48.94,79.66,50.0,75.0
469702,49.06,70.28,50.0,75.0
470226,49.21,59.35,50.0,75.0
470749,49.31,51.53,50.0,75.0
471272,49.42,43.72,50.0,75.0
471797,49.45,41.38,50.0,75.0
472320,49.53,35.52,50.0,75.0
472843,49.51,36.69,50.0,75.0
473366,49.42,43.72,50.0,75.0
473888,49.34,49.58,50.0,75.0
474411,49.23,57.78,50.0,75.0
474934,49.11,66.38,50.0,75.0
475457,49.07,69.89,50.0,75.0
475980,48.93,80.05,50.0,75.0
476503,48.85,86.3,50.0,75.0
477026,48.81,89.42,50.0,75.0
477549,48.93,80.05,50.0,75.0
478072,49.07,69.5,50.0,75.0
478595,49.15,63.64,50.0,75.0
479118,49.33,50.36,50.0,75.0
479641,49.38,46.45,50.0,75.0
480166,49.42,43.33,50.0,75.0
480690,49.46,40.2,50.0,75.0
481213,49.44,42.16,50.0,75.0
481736,49.42,43.33,50.0,75.0
482259,49.37,47.24,50.0,75.0
482783,49.26,55.44,50.0,75.0
483306,49.11,66.38,50.0,75.0
483829,49.02,73.8,50.0,75.0
484352,48.88,84.35,50.0,75.0
484875,48.85,86.3,50.0,75.0
485398,48.8,89.81,50.0,75.0
485920,48.87,84.74,50.0,75.0
486443,48.98,76.14,50.0,75.0
486966,49.11,66.77,50.0,75.0
487489,49.27,54.66,50.0,75.0
488013,49.42,43.33,50.0,75.0
488538,49.46,40.6,50.0,75.0
489062,49.55,33.56,50.0,75.0
489585,49.52,35.91,50.0,75.0
490108,49.48,38.64,50.0,75.0
490631,49.36,48.02,50.0,75.0
491154,49.26,55.83,50.0,75.0
491677,49.21,59.35,50.0,75.0
492200,49.12,65.99,50.0,75.0
492723,48.98,76.53,50.0,75.0
493246,48.89,83.17,50.0,75.0
493769,48.78,91.38,50.0,75.0
494292,48.81,89.03,50.0,75.0
494816,48.85,85.91,50.0,75.0
495339,49.0,74.97,50.0,75.0
495862,49.27,55.05,50.0,75.0
496385,49.4,45.28,50.0,75.0
496911,49.52,36.3,50.0,75.0
497434,49.6,30.05,50.0,75.0
497957,49.58,31.61,50.0,75.0
498480,49.53,35.52,50.0,75.0
499003,49.45,41.38,50.0,75.0
499527,49.34,49.58,50.0,75.0
500049,49.23,57.78,50.0,75.0
500572,49.09,68.33,50.0,75.0
501095,49.02,73.8,50.0,75.0
501618,48.94,79.66,50.0,75.0
502141,48.81,89.42,50.0,75.0
502664,48.75,93.72,50.0,75.0
503187,48.82,88.64,50.0,75.0
503711,48.99,75.75,50.0,75.0
504233,49.16,62.86,50.0,75.0
504756,49.24,57.0,50.0,75.0
505287,49.41,44.5,50.0,75.0
505811,49.5,37.86,50.0,75.0
506334,49.54,34.35,50.0,75.0
506856,49.51,36.69,50.0,75.0
507379,49.52,36.3,50.0,75.0
507902,49.44,42.16,50.0,75.0
508425,49.31,51.92,50.0,75.0
508948,49.18,61.3,50.0,75.0
509471,49.07,69.5,50.0,75.0
509994,48.98,76.14,50.0,75.0
510517,48.88,84.35,50.0,75.0
511040,48.83,87.86,50.0,75.0
511563,48.79,90.6,50.0,75.0
512086,48.89,83.17,50.0,75.0
512609,49.07,69.89,50.0,75.0
513132,49.19,60.52,50.0,75.0
513657,49.36,47.63,50.0,75.0
514179,49.45,40.99,50.0,75.0
514702,49.46,40.6,50.0,75.0
515225,49.47,39.81,50.0,75.0
515748,49.42,43.33,50.0,75.0
516271,49.4,45.28,50.0,75.0
516794,49.28,54.27,50.0,75.0
517317,49.17,62.08,50.0,75.0
517840,49.13,65.2,50.0,75.0
518363,49.03,73.02,50.0,75.0
518886,48.9,82.39,50.0,75.0
519409,48.81,89.03,50.0,75.0
519932,48.84,87.08,50.0,75.0
520455,48.98,76.53,50.0,75.0
520978,49.04,72.24,50.0,75.0
521501,49.21,58.95,50.0,75.0
522026,49.4,45.28,50.0,75.0
522549,49.45,41.38,50.0,75.0
523073,49.48,38.64,50.0,75.0
523596,49.46,40.6,50.0,75.0
524118,49.44,42.16,50.0,75.0
524642,49.39,45.67,50.0,75.0
525165,49.29,53.49,50.0,75.0
525688,49.19,60.91,50.0,75.0
526211,49.07,69.5,50.0,75.0
526734,48.96,78.1,50.0,75.0
527257,48.91,82.0,50.0,75.0
527780,48.82,88.25,50.0,75.0
528303,48.86,85.52,50.0,75.0
528826,49.03,72.63,50.0,75.0
529348,49.12,65.99,50.0,75.0
529871,49.29,53.49,50.0,75.0
530396,49.39,45.67,50.0,75.0
530919,49.41,44.5,50.0,75.0
531442,49.46,40.2,50.0,75.0
531965,49.45,41.38,50.0,75.0
532488,49.44,42.16,50.0,75.0
533011,49.35,48.8,50.0,75.0
533534,49.21,59.35,50.0,75.0
534057,49.15,63.64,50.0,75.0
534580,49.05,71.06,50.0,75.0
535104,48.94,79.27,50.0,75.0
535627,48.87,84.74,50.0,75.0
536149,48.81,89.03,50.0,75.0
536672,48.9,82.78,50.0,75.0
537195,48.96,77.7,50.0,75.0
537718,49.2,60.13,50.0,75.0
538241,49.36,47.63,50.0,75.0
538767,49.43,42.94,50.0,75.0
539290,49.5,37.86,50.0,75.0
539813,49.5,37.47,50.0,75.0
540336,49.47,39.81,50.0,75.0
540859,49.43,42.55,50.0,75.0
541382,49.34,49.19,50.0,75.0
541905,49.22,58.17,50.0,75.0
542428,49.1,67.16,50.0,75.0
542951,49.03,72.63,50.0,75.0
543474,48.93,80.44,50.0,75.0
543997,48.87,84.74,50.0,75.0
544520,48.77,92.55,50.0,75.0
545043,48.83,87.47,50.0,75.0
545566,49.03,73.02,50.0,75.0
546089,49.15,64.03,50.0,75.0
546612,49.33,50.36,50.0,75.0
547137,49.4,45.28,50.0,75.0
547661,49.43,42.55,50.0,75.0
548184,49.47,39.42,50.0,75.0
548707,49.43,42.55,50.0,75.0
549230,49.44,41.77,50.0,75.0
549753,49.36,47.63,50.0,75.0
550276,49.31,51.92,50.0,75.0
550799,49.19,60.52,50.0,75.0
551323,49.06,70.28,50.0,75.0
551846,49.0,75.36,50.0,75.0
552368,48.86,85.13,50.0,75.0
552891,48.78,91.77,50.0,75.0
553414,48.82,88.25,50.0,75.0
553938,48.94,79.66,50.0,75.0
554461,49.11,66.77,50.0,75.0
554984,49.31,51.53,50.0,75.0
555510,49.43,42.94,50.0,75.0
556033,49.52,35.91,50.0,75.0
556556,49.53,35.52,50.0,75.0
557079,49.53,35.13,50.0,75.0
557602,49.47,39.81,50.0,75.0
558125,49.35,48.41,50.0,75.0
558648,49.23,57.39,50.0,75.0
559171,49.15,64.03,50.0,75.0
559694,49.03,73.02,50.0,75.0
560218,48.96,77.7,50.0,75.0
560741,48.84,87.08,50.0,75.0
561264,48.79,90.6,50.0,75.0
561787,48.86,85.13,50.0,75.0
562310,48.98,76.14,50.0,75.0
562833,49.17,62.47,50.0,75.0
563356,49.25,56.22,50.0,75.0
563882,49.3,52.31,50.0,75.0
564405,49.4,44.89,50.0,75.0
564928,49.49,38.25,50.0,75.0
565451,49.48,38.64,50.0,75.0
565974,49.43,42.55,50.0,75.0
566497,49.41,44.5,50.0,75.0
567020,49.33,49.97,50.0,75.0
567543,49.23,57.39,50.0,75.0
568065,49.1,67.55,50.0,75.0
568588,49.01,74.58,50.0,75.0
569111,48.91,82.0,50.0,75.0
569634,48.82,88.25,50.0,75.0
570157,48.82,88.25,50.0,75.0
570680,48.96,77.7,50.0,75.0
571203,49.09,68.33,50.0,75.0
571726,49.25,56.61,50.0,75.0
572255,49.37,47.24,50.0,75.0
572778,49.44,41.77,50.0,75.0
573301,49.45,40.99,50.0,75.0
573824,49.47,39.81,50.0,75.0
574347,49.42,43.33,50.0,75.0
574870,49.36,48.02,50.0,75.0
575393,49.29,53.49,50.0,75.0
575916,49.16,62.86,50.0,75.0
576439,49.1,67.16,50.0,75.0
576962,49.0,74.97,50.0,75.0
577484,48.89,83.17,50.0,75.0
578007,48.85,86.3,50.0,75.0
578529,48.92,81.22,50.0,75.0
579052,49.0,74.97,50.0,75.0
579575,49.04,72.24,50.0,75.0
580098,49.09,68.33,50.0,75.0
580622,49.21,59.35,50.0,75.0
581146,49.37,47.24,50.0,75.0
581668,49.46,40.6,50.0,75.0
